SCIENCE DOMAIN,URI,,,,
Geological Oceanography,http://cor.esipfed.org/ont/earthcube/ADO_0000049,,,,
Geology,http://cor.esipfed.org/ont/earthcube/ADO_0000056,,,,
Geomagnetism,http://cor.esipfed.org/ont/earthcube/ADO_0000094,,,,
Geomorphology,http://cor.esipfed.org/ont/earthcube/ADO_0000062,,,,
Geophysical Fluid Dynamics,http://cor.esipfed.org/ont/earthcube/ADO_0000092,,,,
Geophysics,http://cor.esipfed.org/ont/earthcube/ADO_0000063,,,,
Geostatistics,http://cor.esipfed.org/ont/earthcube/ADO_0000077,,,,
Glaciology,http://cor.esipfed.org/ont/earthcube/ADO_0000078,,,,
Historical Geology,http://cor.esipfed.org/ont/earthcube/ADO_0000064,,,,
Human Geography,http://cor.esipfed.org/ont/earthcube/ADO_0000015,,,,
Hydrogeology,http://cor.esipfed.org/ont/earthcube/ADO_0000082,,,,
Hydroinformatics,http://cor.esipfed.org/ont/earthcube/ADO_0000083,,,,
Hydrology,http://cor.esipfed.org/ont/earthcube/ADO_0000079,,,,
Hydrometeorology,http://cor.esipfed.org/ont/earthcube/ADO_0000084,,,,
Invertebrate Paleontology,http://cor.esipfed.org/ont/earthcube/ADO_0000103,,,,
Isotope Hydrology,http://cor.esipfed.org/ont/earthcube/ADO_0000085,,,,
Landscape Ecology,http://cor.esipfed.org/ont/earthcube/ADO_0000088,,,,
Limnology,http://cor.esipfed.org/ont/earthcube/ADO_0000087,,,,
Magnetotellurics,http://cor.esipfed.org/ont/earthcube/ADO_0000190,,,,
Marine Geology,http://cor.esipfed.org/ont/earthcube/ADO_0000065,,,,
Mathematical Geophysics,http://cor.esipfed.org/ont/earthcube/ADO_0000095,,,,
Meteorology,http://cor.esipfed.org/ont/earthcube/ADO_0000034,,,,
Micropaleontology,http://cor.esipfed.org/ont/earthcube/ADO_0000106,,,,
Mineral Physics,http://cor.esipfed.org/ont/earthcube/ADO_0000096,,,,
Mineralogy,http://cor.esipfed.org/ont/earthcube/ADO_0000066,,,,
Mining Geology,http://cor.esipfed.org/ont/earthcube/ADO_0000067,,,,
Natural Sciences,http://cor.esipfed.org/ont/earthcube/ADO_0000019,,,,
Near-Surface Geophysics,http://cor.esipfed.org/ont/earthcube/ADO_0000097,,,,
Oceanography,http://cor.esipfed.org/ont/earthcube/ADO_0000046,,,,
Paleobiology,http://cor.esipfed.org/ont/earthcube/ADO_0000109,,,,
Paleobotany,http://cor.esipfed.org/ont/earthcube/ADO_0000104,,,,
Paleoceanography,http://cor.esipfed.org/ont/earthcube/ADO_0000051,,,,
Paleoclimatology,http://cor.esipfed.org/ont/earthcube/ADO_0000043,,,,
Paleoecology,http://cor.esipfed.org/ont/earthcube/ADO_0000107,,,,
Paleogeography,http://cor.esipfed.org/ont/earthcube/ADO_0000044,,,,
Paleomagnetism,http://cor.esipfed.org/ont/earthcube/ADO_0000098,,,,
Paleontology,http://cor.esipfed.org/ont/earthcube/ADO_0000101,,,,
Palynology,http://cor.esipfed.org/ont/earthcube/ADO_0000105,,,,
Pedology,http://cor.esipfed.org/ont/earthcube/ADO_0000054,,,,
Petroleum Geology,http://cor.esipfed.org/ont/earthcube/ADO_0000069,,,,
Petrology,http://cor.esipfed.org/ont/earthcube/ADO_0000070,,,,
Philosophy,http://cor.esipfed.org/ont/earthcube/ADO_0000009,,,,
Physical Geography,http://cor.esipfed.org/ont/earthcube/ADO_0000032,,,,
Physical Oceanography,http://cor.esipfed.org/ont/earthcube/ADO_0000050,,,,
Physics,http://cor.esipfed.org/ont/earthcube/ADO_0003318,,,,
Phytogeography,http://cor.esipfed.org/ont/earthcube/ADO_0000040,,,,
Quaternary Science,http://cor.esipfed.org/ont/earthcube/ADO_0000089,,,,
Sedimentology,http://cor.esipfed.org/ont/earthcube/ADO_0000071,,,,
Seismology,http://cor.esipfed.org/ont/earthcube/ADO_0000099,,,,
Soil Science,http://cor.esipfed.org/ont/earthcube/ADO_0000052,,,,
Space Science,http://cor.esipfed.org/ont/earthcube/ADO_0000022,,,,
Speleology,http://cor.esipfed.org/ont/earthcube/ADO_0000075,,,,
Statistics and Probability,http://cor.esipfed.org/ont/earthcube/ADO_0002269,,,,
Stratigraphy,http://cor.esipfed.org/ont/earthcube/ADO_0000072,,,,
Structural Geology,http://cor.esipfed.org/ont/earthcube/ADO_0000073,,,,
Surface Hydrology,http://cor.esipfed.org/ont/earthcube/ADO_0000086,,,,
Tectonics,http://cor.esipfed.org/ont/earthcube/ADO_0000076,,,,
Tectonophysics,http://cor.esipfed.org/ont/earthcube/ADO_0000100,,,,
Vertebrate Paleontology,http://cor.esipfed.org/ont/earthcube/ADO_0000102,,,,
Volcanology,http://cor.esipfed.org/ont/earthcube/ADO_0000074,,,,
Zoogeography,http://cor.esipfed.org/ont/earthcube/ADO_0000041,,,,
